Listing...
perl-base/noble-updates,noble-security 5.38.2-3.2ubuntu0.2 amd64 [upgradable from: 5.38.2-3.2ubuntu0.1]
perl-modules-5.38/noble-updates,noble-security 5.38.2-3.2ubuntu0.2 all [upgradable from: 5.38.2-3.2ubuntu0.1]
perl/noble-updates,noble-security 5.38.2-3.2ubuntu0.2 amd64 [upgradable from: 5.38.2-3.2ubuntu0.1]
python-apt-common/noble-updates 2.7.7ubuntu5 all [upgradable from: 2.7.7ubuntu4]
python3-apt/noble-updates 2.7.7ubuntu5 amd64 [upgradable from: 2.7.7ubuntu4]
python3-pip/noble-updates,noble-security 24.0+dfsg-1ubuntu1.3 all [upgradable from: 24.0+dfsg-1ubuntu1.2]
python3-software-properties/noble-updates 0.99.49.3 all [upgradable from: 0.99.49.2]
python3.12-dev/noble-updates,noble-security 3.12.3-1ubuntu0.8 amd64 [upgradable from: 3.12.3-1ubuntu0.7]
python3.12-minimal/noble-updates,noble-security 3.12.3-1ubuntu0.8 amd64 [upgradable from: 3.12.3-1ubuntu0.7]
python3.12/noble-updates,noble-security 3.12.3-1ubuntu0.8 amd64 [upgradable from: 3.12.3-1ubuntu0.7]
software-properties-common/noble-updates 0.99.49.3 all [upgradable from: 0.99.49.2]
sqlite3/noble-updates,noble-security 3.45.1-1ubuntu2.5 amd64 [upgradable from: 3.45.1-1ubuntu2.3]
systemd-dev/noble-updates 255.4-1ubuntu8.10 all [upgradable from: 255.4-1ubuntu8.8]
systemd-sysv/noble-updates 255.4-1ubuntu8.10 amd64 [upgradable from: 255.4-1ubuntu8.8]
systemd/noble-updates 255.4-1ubuntu8.10 amd64 [upgradable from: 255.4-1ubuntu8.8]
vim-common/noble-updates,noble-security 2:9.1.0016-1ubuntu7.9 all [upgradable from: 2:9.1.0016-1ubuntu7.8]
vim-doc/noble-updates,noble-security 2:9.1.0016-1ubuntu7.9 all [upgradable from: 2:9.1.0016-1ubuntu7.8]
vim-runtime/noble-updates,noble-security 2:9.1.0016-1ubuntu7.9 all [upgradable from: 2:9.1.0016-1ubuntu7.8]
vim-tiny/noble-updates,noble-security 2:9.1.0016-1ubuntu7.9 amd64 [upgradable from: 2:9.1.0016-1ubuntu7.8]
vim/noble-updates,noble-security 2:9.1.0016-1ubuntu7.9 amd64 [upgradable from: 2:9.1.0016-1ubuntu7.8]
xxd/noble-updates,noble-security 2:9.1.0016-1ubuntu7.9 amd64 [upgradable from: 2:9.1.0016-1ubuntu7.8]
